entry_timestamp,exit_timestamp,entry_price,exit_price,size,trade_type,pnl,final_equity,exit_reason,window,window_start_capital,bars_in_trade,max_adverse_excursion,max_favorable_excursion,TENKAN_SEN_PERIOD,KIJUN_SEN_PERIOD,SENKOU_SPAN_B_PERIOD,RSI_PERIOD,RSI_OVERBOUGHT,RSI_OVERSOLD,min_confidence,strong_signal_threshold,confluence_threshold,volatility_threshold,volatility_window,trend_window,momentum_window,ADX_THRESHOLD
2025-05-10 02:40:00,2025-05-10 06:00:00,103236.83262,103391.07860000001,0.004883651704520526,1,0.753283643142473,759.920935423884,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 06:00:00,2025-05-10 06:30:00,103494.5214,103675.96608500001,0.004882842253105804,1,0.8859657745195192,762.1561550916813,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 06:30:00,2025-05-10 07:00:00,103779.693915,103860.053995,0.004883747716109922,1,0.3924583571664036,763.2571537175347,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 07:00:00,2025-05-10 07:40:00,103963.966005,103599.69424000001,0.006974477060607572,1,-2.5406050688194144,758.1759435798958,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 07:40:00,2025-05-10 08:05:00,103703.34576,103819.154455,0.00486182001926406,1,0.5630410317558443,759.5887637863937,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 08:05:00,2025-05-10 08:30:00,103923.025545,103916.385815,0.004860583352620209,1,-0.032272961103870255,759.6845639018502,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 08:30:00,2025-05-10 08:50:00,104020.35418499999,103585.411385,0.006938068432484041,1,-3.017662910616149,753.6492380806178,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 08:50:00,2025-05-10 09:40:00,103689.04861499999,103693.00756000001,0.004833458788733732,1,0.019135397504461686,754.0461889114595,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 09:40:00,2025-05-10 09:55:00,103796.75244,103710.029045,0.006901409366154987,1,-0.5985136505177145,752.8491616104241,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 09:55:00,2025-05-10 10:20:00,103813.790955,103761.41334000001,0.006889322670433279,1,-0.36084629044265953,752.1274690295388,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 10:20:00,2025-05-10 11:30:00,103865.22666,103453.73725500001,0.006879310030459253,1,-2.8307631912441114,746.4659426470505,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 11:30:00,2025-05-10 12:15:00,103557.242745,103550.89865,0.006595938096741246,1,-0.04184525789980017,746.3822521312509,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 12:15:00,2025-05-10 12:30:00,103654.50134999999,103688.14999,0.004527853917493046,1,0.15235612644237653,746.8410963801629,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 12:30:00,2025-05-10 14:15:00,103791.89001,103415.39643500002,0.006835784968293735,1,-2.5736291206440733,741.6938381388746,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-05-10 14:15:00,2025-05-10 14:25:00,103518.86356499999,103443.27249,0.006806577293900675,1,-0.5145164947164705,740.6648051494418,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
